Title,Company,DeadlineHoSo,Salary,Quantity,Hthuc,CapBac,GioiTinh,KinhNghiem,DiaChi,Skill,JobData
Devops Engineer,CÔNG TY CP CÔNG NGHỆ GIÁO DỤC TRƯỜNG HỌC TRỰC TUYẾN - ONSCHOOL," Hạn nộp hồ sơ: 20/01/2023
","
20-40 triệu
",1 người,Toàn thời gian,Nhân viên,Nam,2 năm,"Hà Nội,Thanh Xuân",,"Xây dựng và vận hành hệ thống hạ tầng trên server sẵn có.  ,Thiết lập môi trường kỹ thuật cho nhóm phát triển. ,Tự động hóa quy trình và công tác phát triển giải pháp, phục vụ triển khai, nâng cấp hoặc khắc phục sự cố hệ thống. ,Theo dõi, phối hợp với team phát triển tối ưu hóa hiệu năng. ,Viết các module monitor hệ thống, tìm hiểu, phát triển các tool monitor visualization. ,Theo dõi sự phát triển của hệ thống, đề xuất và đưa phương án nâng cấp, mở rộng đảm bảo tính tự động hoá, có tính toán rủi ro và khả năng phục hồi nếu gặp sự cố.,Báo cáo công việc với các quản lý.,Thực hiện các nhiệm vụ khác từ các cấp quản lý.,Thiết kế kiến trúc, xây dựng và vận hành hệ thống hạ tầng trên môi trường Cloud (AWS, GCP, Azure …) đảm bảo các ứng dụng chạy có khả năng mở rộng, chịu lỗi và bảo mật cao. ,Nghiên cứu, phát triển và triển khai các giải pháp tự động (Auto Scaling/Auto Healing/CICD) cho các dịch vụ trên nền tảng Cloud. ,Phát triển các sản phẩm của Công ty.,Nam dưới 30 tuổi.Có laptop cá nhân.,Trình độ: Tốt nghiệp Đại học/Cao đẳng, ưu tiên khối ngành Công nghệ thông tin;,Kinh nghiệm làm việc: Tối thiểu 02 năm kinh nghiệm ở vị trí tương đương:,Kinh nghiệm làm hệ điều hành Ubuntu, Centos, và Các hệ CSDL (MySQL, SQLServer, PostgreSQL, MongoDB..) ,Kinh nghiệm xây dựng các hệ thống CI/CD như Jenkins, Gitlab Runner,...,Kinh nghiệm vận hành hệ thống Docker (Swarm or K3s, K8s...),Nắm vững kiến trúc về Bảo mật, Firewall, Netwoking, NAT, Rounting, HAProxy..,Kinh nghiệm xây dựng hệ Monitor, ELK và báo cáo vận hành,Có khă năng xây dựng các tool phục vụ vận hành (BashScript, Python, NodeJS, Serverless...),Biết vận hành các hệ thống VCR Streaming là lợi thế.,Biết vận hành, xây dựng các hệ thống Redis, RabitMQ... là lợi thế.,Yêu thích công nghệ, giáo dục.,Lương cơ bản: 20.000.000 VND/tháng – 40.000.000 VND/tháng.,Thử việc 2 tháng, hưởng 100% lương.,Đánh giá, review lương: định kỳ 2 lần/năm.,Cơ chế phụ cấp, phúc lợi:,+ Ăn trưa 25.000đ/ngày + gửi xe + đóng bảo hiểm đầy đủ theo quy định.,+ Hưởng các chế độ phúc lợi khác theo quy định của công ty.,Môi trường làm việc và cơ hội phát triển:,+ Làm việc hướng mục tiêu, được chủ động đề xuất các ý kiến nhằm nâng cao hiệu quả công việc.,+ Tham gia các dự án đào tạo nhằm phát triển kỹ năng chuyên môn."
PHP Developer,CÔNG TY CP CÔNG NGHỆ GIÁO DỤC TRƯỜNG HỌC TRỰC TUYẾN - ONSCHOOL," Hạn nộp hồ sơ: 20/01/2023
","
20-30 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Thanh Xuân",,"Tham gia thiết kế và phát triển các sản phẩm phần mềm về lớp học trực tuyến cho các trường đại học đối tác của Onschool, xây dự án xây dựng ứng dụng bằng PHP. (sử dụng ngôn ngữ PHP).,Thực hiện coding các module đã được thiết kế sẵn. ,Tùy chỉnh và nâng cấp hệ thống đáp ứng yêu cầu của khách hàng. , Báo cáo cho quản lý khi có yêu cầu.,Giới tính: Nam/nữ, sinh năm 1990 - 1998. Có laptop cá nhân.,Trình độ: Tốt nghiệp CĐ, ĐH trở lên chuyên ngành về Công nghệ, lập trình. ,Kinh nghiệm: ,        + Có từ  1-2 năm kinh nghiệm về lập trình PHP (Laravel), có kinh nghiệm về thiết kế hệ thống phần mềm, cơ sở dữ liệu.,        + Có kinh nghiệm làm việc với RESTFul API, lập trình với Nodejs và framework tương tự.,        + Có kinh nghiệm lập trình với React/Angular/Vuejs/Native JavaScript ES5&6.,        + Có kinh nghiệm thiết kế và phát triển Backend APIs và các service databases (MySQL, Postgres) hoặc NoSQL (MongoDB).,        + Có kinh nghiệm sử dụng Github/Gitlab, Docker containers, Message Queuing, Apache Kafka.,        + Có kinh nghiệm về Microservices.,Tư duy − Sẵn sàng học hỏi kiến thức cũng như công nghệ lập trình mới. ,Tính cách: chủ động trong công việc.,Lương cơ bản 20.000.000 – 30.000.000 VNĐ/tháng. ,Chế độ thưởng dự án, thưởng nóng dựa theo kết quả công việc. ,Thử việc 2 tháng, hưởng 100% lương. ,Đánh giá, review lương: định kỳ 2 lần/năm. , Quyền lợi, phúc lợi khác: ,+ Hưởng đầy đủ các chế độ Bảo hiểm theo quy định của pháp luật và các phụ cấp  theo quy định của công ty.  ,+ Tham gia các sự kiện: ngày lễ, sinh nhật công ty, sinh nhật hàng tháng,  du lịch,... ,+ Môi trường làm việc thoải mái, năng động."
Mobile Developer,Công ty TNHH Công nghệ Thương mại và Dịch vụ Trí Nghĩa," Hạn nộp hồ sơ: 19/01/2023
","
18-25 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Nam Từ Liêm","Android,Git,iOS,REST API,React Native","- Thiết kế, lập trình, kiểm thử đơn vị, sửa lỗi các ứng dụng phần mềm sử dụng React Native,- Phối hợp với nhân viên kiến trúc hệ thống, phân tích nghiệm vụ và kiểm thử để hoàn thành công việc dự án,- Tham gia thường xuyên các buổi họp review code và thảo luận với các thành viên trong nhóm để nâng cao chất lượng công việc,- Triển khai sản phẩm lên môi trường của khách hàng, hỗ trợ nghiệm thu,- Tham gia ước lượng thời gian hoàn thành công việc, xây dựng đề xuất giải pháp cho khách hàng,- Có kinh nghiệm 02 năm trở lên làm việc với React Native,- Có kinh nghiệm sử dụng các tools: Android Studio, Xcode, Git, TFS,- Có kinh nghiệm tích hợp: REST API hoặc GraphQL,- Biết NodeJS, Ionic là 1 lợi thế,- Sử dụng được tiếng Anh (đọc/viết và giao tiếp cơ bản) là một lợi thế ,- Nhiệt tình, ham học hỏi, mong muốn cầu tiến,- Thu nhập upto $1000/tháng, thỏa thuận theo năng lực,- Trợ cấp ăn trưa 500.000đ/tháng ,- Thưởng Lễ Tết, Công đoàn vào 08/03, 20/10, Tết Thiếu nhi, Tết Trung thu,- Tham gia Sinh nhật, Teambuilding, Nghỉ mát, Happy Hour, CLB Bóng đá, CLB Game…,- Đầy đủ chế độ BHXH, khám sức khỏe định kỳ tại Bệnh viện lớn,- Thời gian làm việc từ thứ 2-thứ 6, nghỉ Thứ 7, CN,- Công việc thú vị, sử dụng công nghệ mới thuộc các lĩnh vực hấp dẫn như ERP, CRM, Banking, BigData/AI,- SẾP GIỎI – ĐỒNG ĐỘI VUI,- Được đào tạo nâng cao chuyên môn, kỹ năng do Giảng viên Đại học FPT trực tiếp đứng lớp,- Trợ cấp khi onsite tại khách hàng"
Lập Trình Viên,Công TY TNHH FLINTERS Việt Nam," Hạn nộp hồ sơ: 28/02/2023
","
Tới 2,000 USD
",5 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Cầu Giấy",,"   • Phát triển và duy trì ứng dụng web;,   • Hiểu các yêu cầu cần thiết để thực hiện công việc phát triển phần mềm / ứng dụng theo yêu cầu của từng dự án;,   • Nghiên cứu, thiết kế, triển khai và quản lý các chương trình phần mềm theo quy trình của công ty;,   • Có kiến thức về website và quản trị website;,   • Có sự hiểu biết về đặc trưng của một hoặc nhiều ngôn ngữ lập trình như Java, PHP, Ruby;,   • Biết sử dụng IDE, công cụ quản lý cấu hình phổ biến,   • Hiểu và sử dụng cấu trúc dữ liệu & thuật toán,   • Có thể áp dụng các chiến lược fix bug, và các công cụ để fix bug,   • Sẵn sàng thay đổi ngôn ngữ lập trình sang Scala.,  - Mức lương: Thương Lượng. Đánh giá lương thưởng 2 lần/năm,  - Thời gian làm việc linh hoạt 07:30AM - 06:30PM. Chế độ làm việc tại nhà,  - Bảo hiểm sức khỏe Bảo Việt,  - Câu lạc bộ sức khỏe, hoạt động team building hàng tháng"
Business Analyst,Công ty TNHH Công nghệ số Adamo," Hạn nộp hồ sơ: 19/01/2023
","
10-20 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,Hà Nội,,"Tiếp nhận, khảo sát, thu thập yêu cầu từ khách hàng theo yêu cầu phát triển của dự án,,Phân tích yêu cầu và dữ liệu, mô tả quy trình nghiệp vụ, use cases, scenarios, phân tích nghiệp vụ để đưa ra các yêu cầu về nghiệp vụ, giao diện và tính năng.,Thiết kế mô hình dữ liệu, tạo các mockups hay prototypes cho dự án.,Lập các tài liệu phân tích URD, SRS cho dự án,Chuyển giao các nghiệp vụ cho team dự án,Tham gia nghiên cứu, tìm hiểu các giải pháp và ứng dụng công nghệ vào dự án,Chi tiết sẽ trao đổi cụ thể khi phỏng vấn,Có từ 6 tháng kinh nghiệm làm về BA,Có nền tảng kiến thức về công nghệ thông tin và phát triển phần mềm,Có kiến thức cơ bản về dữ liệu và truy vấn dữ liệ,Có kiến thức và kỹ năng kiểm thử phần mềm,Sử dụng thành thạo các công cụ hỗ trợ phân tích như: UML, Microsoft Visio, Axure RP…,Có khả năng sử dụng tiếng Anh để nghiên cứu và viết tài liệu,Kỹ năng phân tích và giải quyết các vấn đề chuyên môn tốt,Mức lương hấp dẫn: 10,000,000 – 20,000,000 đ/ tháng.,Thử việc 90% lương.,Thời gian làm việc: Thứ 2 – thứ 6.,Tháng lương thứ 13, 14,Review lương 2 lần 1 năm,Thưởng các dịp lễ Tết, thưởng quý, thưởng thâm niên, thưởng lợi nhuận.,Quà tặng dịp sinh nhật cá nhân,Cơ hội được học hỏi, làm việc với công nghệ mới,Được làm việc trong một môi trường chuyên nghiệp với các đối tác nước ngoài,Du lịch, teambuilding 2-3 lần/năm,Khám sức khỏe định kỳ cho nhân viên,Hỗ trợ tham gia các khóa đào tạo nâng cao kiến thức và kỹ năng."
Data Analyst,Công ty CP công nghệ và truyền thông SAMO," Hạn nộp hồ sơ: 19/01/2023
","
15-18 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Thanh Xuân",,"- Kiểm tra dữ liệu đưa vào mô hình, chuẩn bị tài liệu xây dựng mô hình và theo dõi kết quả triển khai,- Khảo sát hiện trạng và đánh giá các nhu cầu của các đơn vị/ bộ phận nghiệp vụ về việc khai thác dữ liệu, xây dựng báo cáo; thực hiện tư vấn và phân tích nhu cầu khai thác dữ liệu từ các đơn vị/ bộ phận nghiệp vụ trong công ty,- Tốt nghiệp đại học hệ chính quy, ưu tiên các chuyên ngành CNTT, Khoa học máy tính, Hệ thống thông tin, Tin học kinh tế, Tài chính – ngân hàng.,- Có khái niệm về data warehousing concepts/ Data lake (ETL, Staging/Target Area, OLAP, Dimensional Modelling, Data Marts ...),- Có kiến thức nền tảng tốt về hệ quản trị cơ sở dữ liệu và mô hình hóa dữ liệu;,- Mức lương: Từ 15 - 18 triệu,- Môi trường cạnh tranh, công bằng, phát huy đối đa năng lực.,- Đánh giá tăng lương: 02 lần/năm cố định vào tháng 04 và 10 hàng năm; Tăng lương đột xuất…,- Chế độ bảo hiểm: BHXH, BHYT, BHTN đầy đủ theo quy định của nhà nước,- Khám sức khỏe định kỳ hàng năm,- Bảo hiểm chăm sóc sức khỏe VBI hàng năm.,- Thưởng đa dạng: thưởng cuối năm, tết âm lịch, thưởng lễ/tết, thưởng kinh Doanh cuối năm, nhân viên xuất sắc, thâm niên, sáng kiến….,- Hỗ trợ tiền gửi xe, laptop, máy tính cá nhân….,- Thời gian làm việc: Từ thứ 2 – thứ 6; sáng thứ 7 không yêu cầu lên văn phòng chấm công.,- Chế độ đào tạo: Được tham gia các chương trình đào tạo nội bộ, chứng chỉ theo nhu cầu để phục vụ công việc đảm nhiệm.,- Hoạt động du lịch, nghỉ mát: 01 lần/ 1 năm. Team building: 02 lần/năm,- Trà, cà phê, đồ ăn nhẹ free tại văn phòng"
Tester,Công ty TNHH Công nghệ số Adamo," Hạn nộp hồ sơ: 19/01/2023
","
Tới 25 triệu
",4 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,Hà Nội,,"Phối hợp với các đội phát triển phần mềm để hiểu rõ về dự án và mục tiêu kiểm thử cũng như các yêu cầu đưa ra;,Thiết kế và xây dựng các trường hợp kiểm thử;,Thực hiện viết testcase;,Theo dõi, tổng hợp, phân tích, đánh giá, báo cáo kết quả Test cho các bên liên quan;,Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.,Có từ 1 năm kinh nghiệm làm ở vị trí Tester,Có hiểu biết về quy trình phần mềm, các loại test và phương pháp test;,Tư duy tốt, có khả năng nắm bắt yêu cầu nghiệp vụ;,Có khả năng giao tiếp Tiếng anh.,Mức lương hấp dẫn: 12,000,000 – 25,000,000 đ/tháng,Thử việc 90% lương.,Thời gian làm việc: Thứ 2 – thứ 6.,Tháng lương thứ 13,Review lương 2 lần 1 năm,Thưởng các dịp lễ Tết, thưởng quý, thưởng thâm niên, thưởng lợi nhuận.,Quà tặng dịp sinh nhật cá nhân,Cơ hội được học hỏi, làm việc với công nghệ mới,Được làm việc trong một môi trường chuyên nghiệp với các đối tác nước ngoài,Du lịch, teambuilding 2 năm/lần,Khám sức khỏe định kỳ cho nhân viên,Hỗ trợ tham gia các khóa đào tạo nâng cao kiến thức và kỹ năng"
"
Chuyên Viên Triển Khai Phần Mềm [Cầu Giấy-Hà Nội] (8-12 Triệu)
",Công ty cổ phần SANAN," Hạn nộp hồ sơ: 20/02/2023
","
8-12 triệu
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,Dưới 1 năm,"Hà Nội,Cầu Giấy",,"Lên kế hoạch và triển khai phần mềm SanAn Kids (trực tiếp/online) đến khách hàng về phần mềm.,Hỗ trợ xử lý các lỗi liên quan tới lỗi người dùng.,Lên kế hoạch đào tạo và đào tạo người dùng (hàng tháng/quý) để người dùng nắm và hiểu rõ thao tác và nghiệp vụ trên phần mềm.,Hỗ trợ người dùng xử lý các các vấn đề nghiệp vụ phát sinh trong quá trình sử dụng, bao gồm: tìm ra nguyên nhân vấn đề, hướng dẫn người dùng xử lý, tìm giải pháp để giải quyết vấn đề.,Lên tài liệu hướng dẫn người dùng, tổng hợp lỗi phát sinh,Thường xuyên rà soát hệ thống phần mềm, làm việc trực tiếp với team sản phẩm về các lỗi phát sinh.,Lên kế hoạch, thực hiện khảo sát người dùng định kỳ và tổng hợp báo cáo.,Báo cáo cho lãnh đạo trực tiếp tình hình thực hiện công việc để kịp thời có những thay đổi phù hợp.,Có niềm yêu thích với các sản phẩm công nghệ, tốt nghiệp các ngành liên quan đến CNTT, Kinh tế là một lợi thế,Có khả năng giao tiếp, thuyết trình, biên soạn tài liệu,Kinh nghiệm: Có kinh nghiệm triển khai phần mềm là một lợi thế.,Thành thạo tin học văn phòng.,Phân tích và xử lý vấn đề tốt.,Đóng các khoản BHXH, BHYT, BHTN cho người lao động theo quy định.,Làm việc trong môi trường công ty startup trẻ trung, vui vẻ, hòa đồng,Được tham gia các hoạt động của công ty như teambuilding định kỳ, ...,Chính sách phúc lợi rất tốt: Khám chữa bệnh cho người lao động hàng năm, du lịch nghỉ mát 1-2 lần/ năm, lương tháng 13.,Ngày phép: 12 ngày/năm. Thêm 1 ngày phép vào ngày sinh nhật của nhân viên.,Khám sức khỏe định kỳ 01 lần/năm"
Nodejs,Công ty TNHH AgileTech Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Thanh Xuân","MySQL,NodeJS","Tham gia quản lý các team dự án xây dựng sản phẩm website cho khách hàng,Nghiên cứu Website theo nhu cầu của khách hàng,Tìm kiếm, nghiên cứu, đề xuất, thiết kế giải pháp để hoàn thành dự án/sản phẩm,Bảo đảm chất lượng dự án/sản phẩm trước khi bàn giao,Quản lý team, hướng dẫn team về chuyên môn,Kinh nghiệm làm việc với NodeJS,Nắm vững kiến thức về Express/NestJS, Async/Await, Event loop, MVC,Thành thạo phát triển Restful API cho Frontend Web và Mobile App,Mạnh về OOP, cấu trúc dữ liệu và thuật toán,Có kinh nghiệm làm việc với MySQL/MariaDB  hoặc MongoDB ,Có kiến thức sâu rộng về Typescript, OAuth2/Jwt là một lợi thế,Có khả năng lead team, quản lý thời gian tốt là điểm cộng,Giao tiếp tiếng Anh tốt,Lương thỏa thuận trong phỏng vấn,Thời gian làm việc linh hoạt, chỉ cần đảm bảo công việc,13 – 14 tháng lương, review lương 2 lần/năm theo năng lực,Thưởng: dự án, lễ Tết, dương lịch, 30/4, 2/9,...,Thâm niên (trên 2 năm): thưởng thâm niên, miễn phí du lịch cho người nhà,Được hưởng đầy đủ chế độ BHXH, BHYT, BHTN,OT tùy nhu cầu, chi trả OT đầy đủ,Cơ hội làm việc với các lập trình viên Senior hàng đầu đến từ Bách Khoa, Công Nghệ, Bưu Chính, Công Nghiệp, Đại học Hà Nội,... ,Được tham gia training nội bộ hàng tuần, có cơ hội trở thành speaker/coaching trong các buổi seminar nội bộ/event mà công ty tham gia,Tham gia dự án với khách hàng châu  u, Úc, Singapore… nâng cao trình độ tiếng Anh,Tham gia lớp học Tiếng Anh nội bộ nâng cao trình độ giao tiếp với khách hàng,Môi trường trẻ trung, vui vẻ, hòa đồng,Hoạt động tập thể như bóng đá, bi – a, PS4, team building, company trip,Free vé xe, hoa quả, bánh kẹo hàng ngày, sinh nhật, hiếu hỉ...,Thời gian làm việc:,Giờ: 08:45 – 12:15 & 13:30 – 18:00,Ngày: Thứ 2 – Thứ 6 (42 giờ/tuần)"
Ruby On Rails,CÔNG TY TNHH VAREAL VIỆT NAM," Hạn nộp hồ sơ: 14/01/2023
","
Thoả thuận
",1 người,Toàn thời gian,Trưởng nhóm,Không yêu cầu,3 năm,"Hà Nội,Cầu Giấy",,"– Chịu trách nhiệm thiết kế bộ khung cho hệ thống, cách phân chia và tương tác giữa các component; hướng dẫn phát triển bản thiết kế chi tiết cho từng chức năng,– Đảm bảo các Developer tuân thủ theo đúng tiêu chuẩn thiết kế, triển khai; đảm bảo chất lượng trong việc viết code,– Hướng dẫn về việc tuân thủ tiêu chuẩn và áp dụng các công nghệ mới,– Nhanh chóng, kịp thời đưa ra các giải pháp fix lỗi code phức tạp,– Thiết kế, phát triển và triển khai các web cho khách hàng,– Liên tục theo dõi và cập nhật nội dụng web bao gồm các tính năng, dữ liệu, tương tác,….,– Thường xuyên trao đổi và thông báo với quản lý dự án, khách hàng về tiến độ, timeline, các vấn đề, thời điểm giao sản phẩm,– Khắc phục hoặc hỗ trợ khắc phục sự cố khi cần thiết để giải quyết các vấn đề phát sinh về trải nghiệm người dùng cuối và lỗi chức năng cho các dự án tham gia và theo dõi, hỗ trợ các dự án mà các thành viên trong nhóm tham gia,– Quản lý các thành viên khác trong team để đảm bảo tiến độ và chất lượng công việc,– Hướng dẫn và hỗ trợ các thành viên khác trong team,– Các công việc khác do quản lý trực tiếp phân công.,– Có khả năng Tiếng Anh tốt,– Tốt nghiệp Đại học chuyên ngành CNTT hoặc các chuyên ngành liên quan,– Có hơn 4 năm kinh nghiệp làm việc với Ruby on rails,– Nắm chắc kiến thức và có kinh nghiệm về Front-end như HTML JavaScript, CSS và JQuery,– Có hiểu biết sâu về lập trình hướng đối tượng,– Có kiến thức tốt về các database liên quan,– Nắm vững về phân tích và thiết kế hệ thống hướng đối tượng,– Chủ động trong công việc, có khả năng làm việc nhóm tốt, có trách nhiệm cao trong công việc.,– Có khả năng nghiên cứu, học hỏi và bắt kịp với các công nghệ mới.,– Xét tăng lương 2 lần/năm,– Tháng lương 13 và KPI bonus 2 lần/năm,– Trợ cấp thi chứng chỉ công nghệ, trợ cấp tiếng Nhật,– Các khóa học online do công ty tài trợ,– Làm việc từ thứ 2 đến thứ 6, chế độ làm việc hybrid,– Đóng BHXH trên lương full.,– Bảo hiểm chăm sóc sức khỏe PVI,– Bảo hiểm chăm sóc sức khỏe cao cấp, khám sức khỏe định kì hàng năm,– Quà sinh nhật, các sự kiện team building, new year party và phúc lợi vào các dịp lễ tết trong năm đầy đủ…"
Java Developer,Công Ty TNHH Luxstay Việt Nam," Hạn nộp hồ sơ: 20/01/2023
","
20-40 triệu
",3 người,Toàn thời gian,Nhân viên,Không yêu cầu,2 năm,"Hà Nội,Cầu Giấy","J2EE,Java,NoSQL,SQL Server,Hibernate,Oracle PL/SQL,Oracle SQL,Spring Framework,Spring Boot,Core Java,JPA,Spring MVC","- Tiếp nhận yêu cầu bài toán từ khách hàng, thiết kế CSDL,- Lập trình các chức năng được giao theo tài liệu giải pháp chi tiết.,- Thực hiện các nhiệm vụ sửa lỗi được phát hiện trong quá trình phát triển và triển khai.,- Viết và thực hiện unit test.,- Thực hiện upcode các yêu cầu nâng cấp của dự án.,- Thiết kế được các module thành phần, các chức năng chi tiết theo kiến trúc đã có sẵn.,- Tích hợp mã nguồn (merge code), tích hợp hệ thống.,- Tốt nghiệp Đại học/Cao đẳng chuyên ngành CNTT, ĐTVT, Toán tin Ứng dụng,- Ít nhất 2 năm kinh nghiệm phát triển ứng dụng phần mềm bằng ngôn ngữ Java,- Có kiến thức tốt về lập trình và thiết kế hướng đối tượng (OOP), Design Patterns,- Có nền tảng cấu trúc dữ liệu và giải thuật tốt,- Thành thạo một trong các công nghệ: Webservices (SOAP/RESTful), Websocket, Hibernate, JPA, HTML5/CSS3, Spring MVC, Struts,- Thành thạo một trong các hệ quản trị CSDL quan hệ: Oralce, MySQL, SQL Server,- Ưu tiên ứng viên thành thạo tiếng Anh,- Môi trường làm việc trẻ trung, năng động, sáng tạo,- Được làm việc với các dự án cho nhiều thị trường áp dụng công nghệ mới nhất,- Tham gia vào những câu lạc bộ, sự kiện thể thao, giải trí của Tập đoàn"
Devops,Thủ Đô Multimedia," Hạn nộp hồ sơ: 19/01/2023
","
Tới 18 triệu
",2 người,Toàn thời gian,Nhân viên,Không yêu cầu,1 năm,"Hà Nội,Thanh Xuân","Python,AWS","• Hợp tác với các developer, software architect và đảm bảo chất lượng để triển khai và vận hành hệ thống của trung tâm. ,• Thiết kế, xây dựng, bảo trì và hỗ trợ triển khai sản phẩm phần mềm lên các môi trường: on- premise, cloud (AWS/ GCP, Linode) ,• Hỗ trợ chuyên sâu để tìm lỗi và khắc phục sự cố phần mềm. ,• Thực hiện phân tích hệ thống và function testing khi cần thiết để đưa ra khuyến cáo và đánh giá hệ thống. ,• Xây dựng và vận hành các hệ thống giám sát, cảnh báo, ...,• Xây dựng công cụ và quy trình CI/CD giúp tối ưu quá trình phát triển của developer,• Làm việc trong môi trường năng động, có đội ngũ Tech giàu kinh nghiệm trong lĩnh vực công nghệ điện toán đám mây.,• Có 1-2 năm kinh nghiệm về công nghệ, chuyên môn trong lĩnh vực Devops ,• Kinh nghiệm triển khai các ứng dụng phần mềm trong môi trường hệ điều hành Linux ,• Kinh nghiệm với kịch bản: Bash shell, Python ,• Trải nghiệm với môi trường ảo hóa và container, container ochestration: VMWare, docker, docker-swarm, K8s ,• Sử dụng và triển khai sản phẩm trên các môi trường khác nhau: on-premise, cloud (AWS/ GCP/ Linode),• Biết xây dựng quy trình CI/CD (sử dụng Gitlab CI, Jenkin...) ,• Có hiểu biết về kiến trúc microservice và các kĩ thuật Load balacing/Caching/Logging/Monitoring/Queue... ,• Có kinh nghiệm với một trong các công cụ quản lý cấu hình như Ansible, Terraform ,• Kinh nghiệm làm việc với các công cụ load test/ performance test là một lợi thế ,• Kỹ năng giao tiếp tốt, kỹ năng giải quyết vấn đề và xử lý vấn đề, kỹ năng phân tích tốt cộng với khả năng làm việc nhóm là cần thiết ,• Kỹ năng đọc và hiểu tiếng Anh tốt"
Nhân Viên Marketing,Công Ty Cổ Phần IGB," Hạn nộp hồ sơ: 31/01/2023
","
9-15 triệu
",2 người,Toàn thời gian,Nhân viên,Nữ,1 năm,"Hà Nội,Thanh Xuân",,"- Tiến hành các hoạt động về Digital Marketing để tìm kiếm các cơ hội kinh doanh cho các sản phẩm, dịch vụ của Công ty.,- Xây dựng kế hoạch Digital Marketing, phân tích các thông tin tổng hợp về thị trường, đối thủ, dự báo thị trường...để đưa ra các chương trình Marketing phù hợp, ,- Giám sát triển khai, phân tích, đánh giá và tối ưu Digital Marketing liên quan đến SEO, SEM, Email Marketing, Google Adwords, Facebook ads, hiểu biết về Social Media: Facebook, Youtube,... theo tháng, quý, năm. ,- Chủ động, nghiên cứu đề xuất các công cụ, ý tưởng làm Digital Marketing, kinh doanh nhằm gia tăng cơ hội kinh doanh. ,- Lên kế hoạch, thực hiện tổ chức sự kiện offline ,- Quản lý nhân sự team,- Có kinh nghiệm tối thiểu 1 năm tại vị trí tương đương. ,- Nghiên cứu và phân tích Insight khách hàng mục tiêu theo các chiến dịch Marketing cho sản phẩm.,- Theo dõi, phân tích, thống kê các số liệu, hiệu chỉnh và tối ưu các chiến dịch quảng cáo,- Tăng lượng traffic vào website của công ty,- Phối hợp chặt chẽ với bộ phận kinh doanh nhằm đánh giá hoạt động marketing.,- Cẩn thận, tỉ mỉ trong công việc,- Kỹ năng thống kê, phân tích, đánh giá dựa trên số liệu,- Sử dụng thành thạo các công cụ MS Office.,- Mức Lương: 9.000.000 - 15.000.000VNĐ (Sẽ trao đổi thêm trong quá trình phỏng vấn),- Một mức lương cạnh tranh, đánh giá đúng năng lực và nhiệt huyết của mỗi người.,- Ký hợp đồng lao động, hưởng 12 ngày phép năm và các ngày nghỉ lễ, tết theo quy định của nhà nước.,- Lương tháng 13 + Bonus dự án.,- Thưởng các ngày lễ, Tết.,- Thưởng hoa hồng giới thiệu nhân viên.,- Môi trưởng trẻ, năng động, mọi người cùng hỗ trợ nhau hết mình và tham gia team building, du lịch hằng năm.,- Tăng lương 2 lần/năm, có cổ phần cho thành viên cùng chí hướng.,- Được tham gia các hoạt động ngoại khóa thú vị và các phúc lợi khác,- Cơ hội thăng tiến rõ ràng."
